id,type,diff_height,x,no_vertices
13,dreapta,0.4750113067378834,22.487278826784504,2
36,clos,22.979266552816384,32.04357114589604,2
48,clos,18.481744587641003,32.04357114589604,2
37,clos,12.51126659862122,32.04357114589604,2
49,clos,18.481744587641003,32.04357114589604,2
25,dreapta,0.04471182468112289,-7.548795042605001,2
16,clos,15.366902143700855,31.479248938134248,6
26,dreapta,0.38034214012478174,23.272904832727406,2
17,dreapta,0.7253615878682993,26.627495060398886,2
41,dreapta,1.1188505523029448,14.746067669959842,2
54,clos,35.77438409796726,32.04357114589604,2
7,dreapta,0.4332041289284305,-3.195583152430771,2
18,dreapta,0.31631231110768354,26.474024591033384,2
28,clos,15.017775729026326,32.04357114589604,2
42,clos,20.928324332585717,32.04357114589604,2
55,clos,19.036240855179337,46.73860724890481,2
8,dreapta,0.2550092781767894,11.982600267677867,2
19,dreapta,0.2550092781767894,11.982600267677867,2
56,clos,21.513793595992425,43.12893382637668,2
43,clos,15.017775729026326,32.04357114589604,2
57,dreapta,0.14287814732973558,4.927832630916214,2
35,clos,17.104665458916628,32.04357114589604,2
12,clos,15.017775729026326,32.04357114589604,2
34,clos,18.832225305780625,32.04357114589604,2
61,dreapta,0.24478342605747727,11.982600267677867,2
33,clos,15.017775729026326,32.04357114589604,2
11,dreapta,0.10386999557335841,23.521993755853117,2
60,dreapta,0.004361208724553478,11.982600267677867,2
59,dreapta,0.5292293133073613,-2.956150170663122,2
45,dreapta,0.07347286842154688,23.650494079925394,2
32,clos,15.017775729026326,32.04357114589604,2
58,dreapta,0.3386696863803209,9.879541926618998,2
20,clos,14.465315332705487,27.766675308971926,2
40,dreapta,0.9432579693425929,-6.2367899694190925,2
46,dreapta,1.6084012806159933,9.698002968716878,2
47,clos,26.610381453312158,32.04357114589604,2
52,clos,19.880042402121035,32.04357114589604,2
56,clos,21.513793595992425,43.12893382637668,2
63,dreapta,0.11493253098339551,11.982600267677867,2
22,dreapta,0.20179915249937963,25.525766652274044,2
51,clini,0.9449226804190829,47.75989725040671,10
69,clini,0.5757099918493225,47.256639411047715,14
70,clini,0.9449226804190829,47.75989725040671,10
71,clini,3.3069159028926975,47.75989725040671,10
73,clini,1.6258324987657602,43.15645501667903,10
74,clini,1.3261650434728907,47.75989725040671,10
75,clini,2.924540710131012,47.75989725040671,10
76,clini,0.5721324656543345,47.75989725040671,10
77,clini,1.0629247496844272,25.736337653670418,10
78,clini,0.9449226804190829,47.75989725040671,10
62,clini,0.9449226804190829,47.75989725040671,10
80,clini,1.0281937490712352,21.428038020833768,10
64,clini,1.716743819694976,32.34196230743082,10
81,clini,2.6188177517106794,63.55150233909944,14
82,clini,0.9449226804190829,47.75989725040671,10
67,clini,0.7165159101568719,47.72203413562083,14
68,clini,0.2853321962579969,47.57861936746866,14
83,clini,2.8420001801880517,47.72203413562083,14
66,clini,2.7342065388066317,47.72203413562083,14
72,clini,0.4625728514423315,29.079070902134347,10
